start	mean
-21600	0.101193
-21540	0.111071
-21480	0.088571
-21420	0.105852
-21360	0.091937
-21300	0.102334
-21240	0.087669
-21180	0.086056
-21120	0.107228
-21060	0.086017
-21000	0.104121
-20940	0.107875
-20880	0.095794
-20820	0.088907
-20760	0.124133
-20700	0.103843
-20640	0.085125
-20580	0.082088
-20520	0.121284
-20460	0.117545
-20400	0.111236
-20340	0.079063
-20280	0.070566
-20220	0.126756
-20160	0.097166
-20100	0.121201
-20040	0.136088
-19980	0.093182
-19920	0.125095
-19860	0.115354
-19800	0.111536
-19740	0.136576
-19680	0.126032
-19620	0.094749
-19560	0.077817
-19500	0.135546
-19440	0.124786
-19380	0.124955
-19320	0.121935
-19260	0.136286
-19200	0.146327
-19140	0.142214
-19080	0.074284
-19020	0.115234
-18960	0.115561
-18900	0.133958
-18840	0.088171
-18780	0.107678
-18720	0.097812
-18660	0.153737
-18600	0.123091
-18540	0.094910
-18480	0.112364
-18420	0.124293
-18360	0.121374
-18300	0.113536
-18240	0.092295
-18180	0.101708
-18120	0.137464
-18060	0.095957
-18000	0.107466
-17940	0.111555
-17880	0.096950
-17820	0.119104
-17760	0.107904
-17700	0.151063
-17640	0.158576
-17580	0.109196
-17520	0.145649
-17460	0.095840
-17400	0.101499
-17340	0.098845
-17280	0.144201
-17220	0.118657
-17160	0.080824
-17100	0.117087
-17040	0.124603
-16980	0.097124
-16920	0.109129
-16860	0.108262
-16800	0.097644
-16740	0.091914
-16680	0.111172
-16620	0.134665
-16560	0.085710
-16500	0.110244
-16440	0.110232
-16380	0.105459
-16320	0.104798
-16260	0.100637
-16200	0.119425
-16140	0.134470
-16080	0.098870
-16020	0.107920
-15960	0.093825
-15900	0.140132
-15840	0.112177
-15780	0.124405
-15720	0.123468
-15660	0.116405
-15600	0.126178
-15540	0.140983
-15480	0.117931
-15420	0.084805
-15360	0.141288
-15300	0.095176
-15240	0.099025
-15180	0.083033
-15120	0.093270
-15060	0.121931
-15000	0.081932
-14940	0.089002
-14880	0.133378
-14820	0.096453
-14760	0.126083
-14700	0.141044
-14640	0.123142
-14580	0.103016
-14520	0.105071
-14460	0.095786
-14400	0.084761
-14340	0.095352
-14280	0.071757
-14220	0.113594
-14160	0.097702
-14100	0.108028
-14040	0.098468
-13980	0.122248
-13920	0.111590
-13860	0.124442
-13800	0.099143
-13740	0.107451
-13680	0.100908
-13620	0.111163
-13560	0.102669
-13500	0.131576
-13440	0.113719
-13380	0.109449
-13320	0.113353
-13260	0.094699
-13200	0.109245
-13140	0.133648
-13080	0.112226
-13020	0.106912
-12960	0.105514
-12900	0.124288
-12840	0.093323
-12780	0.092205
-12720	0.108159
-12660	0.122374
-12600	0.120942
-12540	0.120581
-12480	0.112517
-12420	0.129950
-12360	0.123177
-12300	0.110628
-12240	0.116488
-12180	0.116485
-12120	0.090589
-12060	0.101153
-12000	0.108034
-11940	0.143137
-11880	0.131942
-11820	0.119587
-11760	0.112474
-11700	0.089396
-11640	0.127311
-11580	0.106864
-11520	0.128407
-11460	0.125236
-11400	0.096554
-11340	0.150518
-11280	0.112994
-11220	0.123347
-11160	0.111702
-11100	0.105878
-11040	0.129850
-10980	0.135069
-10920	0.128455
-10860	0.124874
-10800	0.107231
-10740	0.126263
-10680	0.106829
-10620	0.119574
-10560	0.151367
-10500	0.077973
-10440	0.156055
-10380	0.089124
-10320	0.100777
-10260	0.104281
-10200	0.152121
-10140	0.099302
-10080	0.120404
-10020	0.130770
-9960	0.136588
