start	mean
-21600	0.140262
-21540	0.121454
-21480	0.139024
-21420	0.100239
-21360	0.080275
-21300	0.118797
-21240	0.136697
-21180	0.104138
-21120	0.117895
-21060	0.084142
-21000	0.139317
-20940	0.107841
-20880	0.108188
-20820	0.112140
-20760	0.168975
-20700	0.115323
-20640	0.079416
-20580	0.094659
-20520	0.122626
-20460	0.121754
-20400	0.129913
-20340	0.104450
-20280	0.106963
-20220	0.142162
-20160	0.137698
-20100	0.163998
-20040	0.127384
-19980	0.106649
-19920	0.137920
-19860	0.132034
-19800	0.130304
-19740	0.140809
-19680	0.133246
-19620	0.116092
-19560	0.085003
-19500	0.144834
-19440	0.149911
-19380	0.111346
-19320	0.154823
-19260	0.140624
-19200	0.185388
-19140	0.176257
-19080	0.075711
-19020	0.118599
-18960	0.120756
-18900	0.144432
-18840	0.083315
-18780	0.122392
-18720	0.103654
-18660	0.150611
-18600	0.161703
-18540	0.098487
-18480	0.122824
-18420	0.127438
-18360	0.140174
-18300	0.141364
-18240	0.089917
-18180	0.091598
-18120	0.174480
-18060	0.109821
-18000	0.117138
-17940	0.106954
-17880	0.106981
-17820	0.125043
-17760	0.086985
-17700	0.167313
-17640	0.190856
-17580	0.127952
-17520	0.177715
-17460	0.052085
-17400	0.097216
-17340	0.126610
-17280	0.174900
-17220	0.097879
-17160	0.093997
-17100	0.127025
-17040	0.114862
-16980	0.133682
-16920	0.151616
-16860	0.114457
-16800	0.125362
-16740	0.145383
-16680	0.136380
-16620	0.132400
-16560	0.101433
-16500	0.134031
-16440	0.104704
-16380	0.096968
-16320	0.130839
-16260	0.092514
-16200	0.121323
-16140	0.173579
-16080	0.111414
-16020	0.127132
-15960	0.128810
-15900	0.137175
-15840	0.081892
-15780	0.172292
-15720	0.139045
-15660	0.103247
-15600	0.184827
-15540	0.134333
-15480	0.094785
-15420	0.089599
-15360	0.175016
-15300	0.112805
-15240	0.107979
-15180	0.104471
-15120	0.116613
-15060	0.153944
-15000	0.120938
-14940	0.135948
-14880	0.150200
-14820	0.133088
-14760	0.133850
-14700	0.158069
-14640	0.175911
-14580	0.119397
-14520	0.133950
-14460	0.072459
-14400	0.105004
-14340	0.080397
-14280	0.083642
-14220	0.142290
-14160	0.095468
-14100	0.096820
-14040	0.109516
-13980	0.119058
-13920	0.136992
-13860	0.116533
-13800	0.121099
-13740	0.126660
-13680	0.155667
-13620	0.128008
-13560	0.156463
-13500	0.158976
-13440	0.107404
-13380	0.122798
-13320	0.148884
-13260	0.136454
-13200	0.118728
-13140	0.130528
-13080	0.123693
-13020	0.082668
-12960	0.145612
-12900	0.136882
-12840	0.113248
-12780	0.087495
-12720	0.125652
-12660	0.148894
-12600	0.132494
-12540	0.136015
-12480	0.143503
-12420	0.153973
-12360	0.103539
-12300	0.148778
-12240	0.123296
-12180	0.132009
-12120	0.098483
-12060	0.104690
-12000	0.143521
-11940	0.169777
-11880	0.148130
-11820	0.149544
-11760	0.094064
-11700	0.089395
-11640	0.149185
-11580	0.109691
-11520	0.118276
-11460	0.148104
-11400	0.109289
-11340	0.186023
-11280	0.137697
-11220	0.134937
-11160	0.135871
-11100	0.117405
-11040	0.156665
-10980	0.154125
-10920	0.148536
-10860	0.144341
-10800	0.121140
-10740	0.130553
-10680	0.097436
-10620	0.126822
-10560	0.185072
-10500	0.055283
-10440	0.190534
-10380	0.103787
-10320	0.125663
-10260	0.111858
-10200	0.178216
-10140	0.122761
-10080	0.131588
-10020	0.103752
-9960	0.148804
-9900	0.135058
-9840	0.157857
-9780	0.117387
-9720	0.112197
-9660	0.089670
-9600	0.133754
-9540	0.119254
-9480	0.136383
-9420	0.109310
-9360	0.116696
-9300	0.134119
-9240	0.109466
-9180	0.152681
-9120	0.103104
-9060	0.121390
-9000	0.111592
-8940	0.109757
-8880	0.087656
-8820	0.137121
-8760	0.122487
-8700	0.123795
-8640	0.151210
-8580	0.121084
-8520	0.125699
-8460	0.133765
-8400	0.100472
-8340	0.087217
-8280	0.136900
-8220	0.106578
-8160	0.128297
-8100	0.133943
-8040	0.108699
-7980	0.140325
-7920	0.155981
-7860	0.119861
-7800	0.148064
-7740	0.099888
-7680	0.083155
-7620	0.079778
-7560	0.132416
-7500	0.101418
-7440	0.101089
-7380	0.132881
-7320	0.095226
-7260	0.106140
-7200	0.129437
-7140	0.118787
-7080	0.127303
-7020	0.110066
-6960	0.130407
-6900	0.099188
-6840	0.116535
-6780	0.146647
-6720	0.128473
-6660	0.089715
-6600	0.128200
-6540	0.129062
-6480	0.118683
-6420	0.113034
-6360	0.152062
-6300	0.107061
-6240	0.113853
-6180	0.120213
-6120	0.089655
-6060	0.141238
-6000	0.129502
-5940	0.136713
-5880	0.070838
-5820	0.095783
-5760	0.151459
-5700	0.118827
-5640	0.142263
-5580	0.138832
-5520	0.102086
-5460	0.089773
-5400	0.150935
-5340	0.081439
-5280	0.119368
-5220	0.089334
-5160	0.112250
-5100	0.120614
-5040	0.091272
-4980	0.091632
-4920	0.143792
-4860	0.105155
-4800	0.104919
-4740	0.145503
-4680	0.085849
-4620	0.141921
-4560	0.100190
-4500	0.120985
-4440	0.139891
-4380	0.124375
-4320	0.168408
-4260	0.120858
