start	mean
-21600	0.023514
-21540	0.079548
-21480	0.051781
-21420	0.088856
-21360	0.105798
-21300	0.055896
-21240	0.081852
-21180	0.103074
-21120	0.084274
-21060	0.097208
-21000	0.059737
-20940	0.071611
-20880	0.091208
-20820	0.059428
-20760	0.078309
-20700	0.113872
-20640	0.068301
-20580	0.046213
-20520	0.084276
-20460	0.112005
-20400	0.087210
-20340	-0.018585
-20280	0.050318
-20220	0.086466
-20160	0.052069
-20100	0.078865
-20040	0.079471
-19980	0.067718
-19920	0.102599
-19860	0.110408
-19800	0.099464
-19740	0.133475
-19680	0.110662
-19620	0.075846
-19560	0.081371
-19500	0.127702
-19440	0.062575
-19380	0.129387
-19320	0.079410
-19260	0.164626
-19200	0.099930
-19140	0.081115
-19080	0.033244
-19020	0.066389
-18960	0.117352
-18900	0.117020
-18840	0.083629
-18780	0.068579
-18720	0.121615
-18660	0.217715
-18600	0.114787
-18540	0.115491
-18480	0.107408
-18420	0.110873
-18360	0.096681
-18300	0.061862
-18240	0.037008
-18180	0.114928
-18120	0.120986
-18060	0.076884
-18000	0.078463
-17940	0.124013
-17880	0.079985
-17820	0.106603
-17760	0.107305
-17700	0.154292
-17640	0.148837
-17580	0.077275
-17520	0.093942
-17460	0.143590
-17400	0.131310
-17340	0.075853
-17280	0.087734
-17220	0.106004
-17160	0.076644
-17100	0.109186
-17040	0.103671
-16980	0.059309
-16920	0.039707
-16860	0.080384
-16800	0.077424
-16740	0.043088
-16680	0.051793
-16620	0.161802
-16560	0.042312
-16500	0.091622
-16440	0.134164
-16380	0.094770
-16320	0.067291
-16260	0.125986
-16200	0.133400
-16140	0.117678
-16080	0.059128
-16020	0.048425
-15960	0.068066
-15900	0.158185
-15840	0.188799
-15780	0.061583
-15720	0.135153
-15660	0.114061
-15600	0.091400
-15540	0.136203
-15480	0.124481
-15420	0.093682
-15360	0.097739
-15300	0.044183
-15240	0.101420
-15180	0.076601
-15120	0.075942
-15060	0.131740
-15000	0.093488
-14940	0.057786
-14880	0.142578
-14820	0.052737
-14760	0.115828
-14700	0.136825
-14640	0.003062
-14580	0.070076
-14520	0.088754
-14460	0.139176
-14400	0.067639
-14340	0.125703
-14280	0.034183
-14220	0.094079
-14160	0.118683
-14100	0.120845
-14040	0.103641
-13980	0.124287
-13920	0.097314
-13860	0.115746
-13800	0.057750
-13740	0.089483
-13680	0.045159
-13620	0.087164
-13560	0.031317
-13500	0.121476
-13440	0.084713
-13380	0.088974
-13320	0.062071
-13260	0.044869
-13200	0.039182
-13140	0.106877
-13080	0.106468
-13020	0.155210
-12960	0.069942
-12900	0.115246
-12840	0.107960
-12780	0.131945
-12720	0.094962
-12660	0.079331
-12600	0.092398
-12540	0.115401
-12480	0.059967
-12420	0.108149
-12360	0.163315
-12300	0.058304
-12240	0.113038
-12180	0.076685
-12120	0.094322
-12060	0.129562
-12000	0.050313
-11940	0.115140
-11880	0.084456
-11820	0.062605
-11760	0.156594
-11700	0.088889
-11640	0.042464
-11580	0.098191
-11520	0.126363
-11460	0.128066
-11400	0.124091
-11340	0.127934
-11280	0.100525
-11220	0.094599
-11160	0.137492
-11100	0.126161
-11040	0.082055
-10980	0.136423
-10920	0.061441
-10860	0.069443
-10800	0.092747
-10740	0.134390
-10680	0.095063
-10620	0.092446
-10560	0.103151
-10500	0.064118
-10440	0.095695
-10380	0.064740
-10320	0.089877
-10260	0.090316
-10200	0.146312
-10140	0.075856
-10080	0.068390
-10020	0.147669
-9960	0.098305
-9900	0.097891
-9840	0.098381
-9780	0.113008
-9720	0.059994
-9660	0.088290
-9600	0.077295
-9540	0.038866
-9480	0.094458
-9420	0.106438
-9360	0.081213
-9300	0.079167
-9240	0.120489
-9180	0.069239
-9120	0.101915
-9060	0.089338
-9000	0.009511
-8940	0.107219
-8880	0.123329
-8820	0.060939
-8760	0.091865
-8700	0.084121
-8640	0.064771
-8580	0.095781
-8520	0.080888
-8460	0.089537
-8400	0.060277
-8340	0.063122
-8280	0.101156
-8220	0.061071
-8160	0.101896
-8100	0.091631
-8040	0.046771
-7980	0.146275
-7920	0.069768
-7860	0.109022
-7800	0.049558
-7740	0.064974
-7680	0.077020
-7620	0.107904
-7560	0.103706
-7500	0.112821
-7440	0.113040
-7380	0.092340
-7320	0.062685
-7260	0.143113
-7200	0.077134
-7140	0.091229
-7080	0.063957
-7020	0.071226
-6960	0.065876
-6900	0.056485
-6840	0.092464
-6780	0.094583
-6720	0.074198
-6660	0.113822
-6600	0.068578
-6540	0.081024
-6480	0.027283
-6420	0.120969
-6360	0.095563
-6300	0.120058
-6240	0.104385
-6180	0.051855
-6120	0.085906
-6060	0.061993
-6000	0.083617
-5940	0.112161
-5880	0.075854
-5820	0.107264
-5760	0.102487
-5700	0.058911
-5640	0.092402
-5580	0.062138
-5520	0.091620
-5460	0.076682
-5400	0.091609
-5340	0.094236
-5280	0.053381
-5220	0.073791
-5160	0.057795
-5100	0.084940
-5040	0.067385
-4980	0.026749
-4920	0.110132
-4860	0.101454
-4800	0.085496
-4740	0.081886
-4680	0.048170
-4620	0.141517
-4560	0.035712
-4500	0.077806
-4440	0.052271
-4380	0.081584
-4320	0.090768
-4260	0.051358
-4200	0.063026
-4140	0.076446
-4080	0.093044
-4020	0.075772
-3960	0.048326
-3900	0.065537
-3840	0.093522
-3780	0.074466
-3720	0.073865
-3660	0.093849
-3600	0.027098
-3540	0.065343
-3480	0.071118
-3420	0.079078
-3360	0.117551
-3300	0.079969
-3240	0.065878
-3180	0.082526
-3120	0.093554
-3060	0.046529
-3000	0.102977
-2940	0.081857
-2880	0.081374
-2820	0.075325
-2760	0.081629
-2700	0.115618
-2640	0.133613
-2580	0.078762
-2520	0.076224
-2460	0.080990
-2400	0.111521
-2340	0.067545
-2280	0.102446
-2220	0.099545
-2160	0.059778
-2100	0.070608
-2040	0.079002
-1980	0.059879
-1920	0.092100
-1860	0.066391
-1800	0.086310
-1740	0.084303
-1680	0.080799
-1620	0.084372
-1560	0.094110
-1500	0.077368
-1440	0.061974
-1380	0.061487
-1320	0.079636
-1260	0.089601
-1200	0.074361
-1140	0.082137
-1080	0.047944
-1020	0.082473
-960	0.070883
-900	0.072719
-840	0.079504
-780	0.074741
-720	0.084362
-660	0.093626
-600	0.055967
-540	0.058785
-480	0.074500
-420	0.066240
-360	0.068773
-300	0.046352
-240	0.068225
-180	0.068647
-120	0.079558
-60	0.050252
0	0.087823
60	0.082521
120	0.078833
180	0.082982
240	0.055911
300	0.095527
360	0.081678
420	0.073030
480	0.088387
540	0.092989
600	0.101166
660	0.101283
720	0.094284
780	0.088163
840	0.095484
900	0.069158
960	0.089454
1020	0.064801
1080	0.089530
1140	0.081238
1200	0.078730
1260	0.108132
1320	0.070836
1380	0.086968
1440	0.109291
1500	0.089316
1560	0.080928
1620	0.081944
1680	0.090475
1740	0.094303
1800	0.117598
1860	0.079079
1920	0.084503
1980	0.108303
2040	0.075979
2100	0.136598
2160	0.125426
2220	0.094834
2280	0.069344
2340	0.061482
2400	0.083945
2460	0.104707
2520	0.083553
2580	0.100889
2640	0.036253
2700	0.073096
2760	0.093113
2820	0.096051
2880	0.090428
2940	0.081491
3000	0.107807
3060	0.096361
3120	0.097933
3180	0.069041
3240	0.081992
3300	0.083469
3360	0.106843
3420	0.122374
3480	0.087684
3540	0.078231
3600	0.104533
3660	0.086466
3720	0.065346
3780	0.089777
3840	0.106687
3900	0.044932
3960	0.111083
4020	0.095062
4080	0.081259
4140	0.079603
4200	0.079220
4260	0.097639
4320	0.086611
4380	0.088456
4440	0.079159
4500	0.108005
4560	0.081633
4620	0.092215
4680	0.108763
4740	0.090213
4800	0.066862
4860	0.085910
4920	0.082556
4980	0.069919
5040	0.107925
5100	0.096844
5160	0.083766
5220	0.070021
5280	0.092919
5340	0.096829
5400	0.136463
5460	0.113474
5520	0.073102
5580	0.112183
5640	0.120152
5700	0.071621
5760	0.102214
5820	0.064753
5880	0.133027
5940	0.122219
6000	0.074667
6060	0.093494
6120	0.099129
6180	0.134136
6240	0.073331
6300	0.139939
6360	0.083488
6420	0.143162
6480	0.094281
6540	0.155516
6600	0.140995
6660	0.129752
6720	0.101578
6780	0.105596
6840	0.051041
6900	0.100458
6960	0.035221
7020	0.046774
7080	0.062590
7140	0.098283
7200	0.079869
7260	0.102378
7320	0.090946
7380	0.093036
7440	0.073898
7500	0.177501
7560	0.106825
7620	0.087804
7680	0.071941
7740	0.088263
7800	0.073243
7860	0.128824
7920	0.101026
7980	0.139361
8040	0.113027
8100	0.047162
8160	0.068954
8220	0.112510
8280	0.078911
8340	0.102315
8400	0.053733
8460	0.100493
8520	0.109933
8580	0.090073
8640	0.061824
8700	0.109231
8760	0.075363
8820	0.041398
8880	0.103148
8940	0.075440
9000	0.113687
9060	0.093101
9120	0.163585
9180	0.082882
9240	0.074416
9300	0.128923
9360	0.063033
9420	0.028563
9480	0.090501
9540	0.073788
9600	0.051113
9660	0.148668
9720	0.069274
9780	0.100574
9840	0.074194
9900	0.132698
9960	0.161630
10020	0.075049
10080	0.120549
10140	0.083213
10200	0.121643
10260	0.116405
10320	0.092481
10380	0.065777
10440	0.098912
10500	0.063218
10560	0.088379
10620	0.137014
10680	0.111159
10740	0.107810
10800	0.160014
10860	0.087292
10920	0.115249
10980	0.064337
11040	0.113805
11100	0.119472
11160	0.116624
11220	0.088937
11280	-0.009021
11340	0.064805
11400	0.062393
11460	0.025104
11520	0.090926
11580	0.087216
11640	0.126823
11700	0.104719
11760	0.100703
11820	0.110287
11880	0.106698
11940	0.105389
12000	0.078949
12060	0.118480
12120	0.087999
12180	0.158511
12240	0.067396
12300	0.139344
12360	0.036293
12420	0.108197
12480	0.150166
12540	0.129409
12600	0.105597
12660	0.108807
12720	0.087996
12780	0.114338
12840	0.102665
12900	0.097384
12960	0.095257
13020	0.041601
13080	0.127340
13140	0.119752
13200	0.101855
13260	0.039552
13320	0.069873
13380	0.131753
13440	0.095642
13500	0.109027
13560	0.091918
13620	0.091903
13680	0.076653
13740	0.057116
13800	0.066425
13860	0.087996
13920	0.066979
13980	0.117353
14040	0.085282
14100	0.084769
14160	0.105997
14220	0.074729
14280	0.107218
14340	0.111300
14400	0.062375
14460	0.132193
14520	0.112263
14580	0.065490
14640	0.056561
14700	0.066899
14760	0.130143
14820	0.064259
14880	0.065982
14940	0.132477
15000	0.073789
15060	0.103469
15120	0.106452
15180	0.097434
15240	0.060503
15300	0.080813
15360	0.056906
15420	0.124277
15480	0.096795
15540	0.118136
15600	0.087387
15660	0.109419
15720	0.098114
15780	0.056472
15840	0.091952
15900	0.105129
15960	0.087588
16020	0.102880
16080	0.119845
16140	0.085189
16200	0.081042
16260	0.159607
16320	0.016954
16380	0.039580
16440	0.086555
16500	0.068087
16560	0.161796
16620	0.039787
16680	0.159147
16740	0.025253
16800	0.084750
16860	0.042314
16920	0.175536
16980	0.081039
17040	0.112003
17100	0.112546
17160	0.025001
17220	0.122210
17280	0.039356
17340	0.130293
17400	0.077479
17460	0.134761
17520	0.088095
17580	0.122758
17640	0.055246
17700	0.124222
17760	0.206614
17820	0.040313
17880	0.046712
17940	0.155981
18000	0.123466
18060	0.139265
18120	0.109225
18180	0.063871
18240	0.123800
18300	0.133324
18360	0.089147
18420	0.052111
18480	0.088273
18540	0.017259
18600	0.093079
18660	0.101262
18720	0.084594
18780	0.046379
18840	0.110660
18900	0.097249
18960	0.069122
19020	0.051439
19080	0.060458
19140	0.096453
19200	0.118674
19260	0.056578
19320	0.085369
19380	0.066964
19440	0.109495
19500	0.115625
19560	0.077601
19620	0.104378
19680	0.178041
19740	0.162319
19800	0.060955
19860	0.083653
19920	0.090157
19980	0.096581
20040	0.081307
20100	0.086189
20160	0.112307
20220	0.059594
20280	0.146004
20340	0.044337
20400	0.224952
20460	0.070516
20520	0.040665
20580	0.035819
20640	0.082294
20700	0.009831
20760	0.081525
20820	0.072008
20880	0.089246
20940	0.061998
21000	0.079079
21060	0.091876
21120	0.075011
21180	0.053738
21240	0.095641
21300	0.143343
21360	0.075984
21420	0.065536
21480	0.049769
21540	0.063690
