start	mean
-21600	0.095783
-21540	0.110308
-21480	0.055236
-21420	0.054333
-21360	0.090638
-21300	0.090728
-21240	0.147118
-21180	0.088689
-21120	0.111592
-21060	0.160141
-21000	0.084390
-20940	0.196551
-20880	0.109701
-20820	0.170213
-20760	0.062338
-20700	0.111105
-20640	0.141689
-20580	0.102720
-20520	0.150499
-20460	0.154116
-20400	0.123487
-20340	0.096218
-20280	0.118522
-20220	0.111833
-20160	0.104323
-20100	0.096368
-20040	0.113600
-19980	0.139177
-19920	0.113757
-19860	0.132796
-19800	0.158290
-19740	0.138838
-19680	0.114590
-19620	0.157829
-19560	0.084730
-19500	0.088009
-19440	0.179762
-19380	0.147310
-19320	0.153468
-19260	0.188387
-19200	0.128230
-19140	0.106738
-19080	0.084241
-19020	0.167544
-18960	0.105747
-18900	0.129823
-18840	0.132753
-18780	0.133610
-18720	0.136491
-18660	0.120607
-18600	0.096396
-18540	0.109263
-18480	0.114072
-18420	0.175154
-18360	0.110649
-18300	0.139217
-18240	0.155410
-18180	0.122827
-18120	0.127087
-18060	0.150359
-18000	0.138073
-17940	0.136826
-17880	0.093526
-17820	0.112894
-17760	0.157624
-17700	0.172665
-17640	0.100935
-17580	0.141496
-17520	0.094141
-17460	0.122409
-17400	0.109649
-17340	0.167027
-17280	0.167768
-17220	0.130794
-17160	0.115050
-17100	0.132242
-17040	0.148644
-16980	0.094722
-16920	0.140935
-16860	0.110266
-16800	0.101919
-16740	0.113710
-16680	0.149706
-16620	0.117080
-16560	0.145694
-16500	0.076585
-16440	0.135736
-16380	0.120259
-16320	0.119804
-16260	0.169783
-16200	0.125169
-16140	0.122428
-16080	0.181333
-16020	0.139852
-15960	0.149440
-15900	0.136670
-15840	0.109427
-15780	0.075742
-15720	0.161642
-15660	0.167266
-15600	0.090970
-15540	0.152234
-15480	0.103609
-15420	0.100328
-15360	0.124583
-15300	0.114221
-15240	0.138616
-15180	0.101063
-15120	0.139562
-15060	0.140242
-15000	0.133098
-14940	0.134780
-14880	0.152268
-14820	0.142422
-14760	0.139362
-14700	0.134476
-14640	0.085882
-14580	0.105854
-14520	0.145328
-14460	0.117413
-14400	0.144258
-14340	0.171532
-14280	0.087856
-14220	0.147833
-14160	0.083358
-14100	0.112507
-14040	0.106921
-13980	0.106376
-13920	0.134813
-13860	0.064779
-13800	0.123125
-13740	0.108297
-13680	0.141509
-13620	0.130450
-13560	0.110143
-13500	0.114433
-13440	0.100312
-13380	0.073604
-13320	0.129584
-13260	0.123053
-13200	0.105658
-13140	0.086581
-13080	0.112055
-13020	0.125441
-12960	0.094288
-12900	0.129948
-12840	0.103426
-12780	0.080550
-12720	0.099598
-12660	0.092216
-12600	0.120900
-12540	0.105127
-12480	0.123593
-12420	0.132675
-12360	0.145965
-12300	0.113062
-12240	0.113520
-12180	0.110104
-12120	0.114471
-12060	0.129073
-12000	0.118974
-11940	0.131987
-11880	0.136668
-11820	0.142259
-11760	0.133791
-11700	0.110892
-11640	0.124761
-11580	0.136201
-11520	0.112472
-11460	0.130175
-11400	0.138656
-11340	0.130219
-11280	0.140829
-11220	0.134831
-11160	0.192068
-11100	0.102141
-11040	0.092928
-10980	0.124172
-10920	0.120680
-10860	0.154458
-10800	0.160172
-10740	0.164069
-10680	0.121148
-10620	0.096469
-10560	0.123146
-10500	0.125855
-10440	0.143939
-10380	0.071539
-10320	0.135780
-10260	0.148043
-10200	0.105642
-10140	0.181249
-10080	0.095030
-10020	0.141898
-9960	0.116682
-9900	0.073949
-9840	0.122000
-9780	0.125902
-9720	0.117615
-9660	0.111953
-9600	0.148781
-9540	0.147184
-9480	0.085747
-9420	0.138424
-9360	0.148872
-9300	0.096239
-9240	0.127707
-9180	0.113336
-9120	0.134381
-9060	0.139520
-9000	0.144922
-8940	0.063643
-8880	0.116679
-8820	0.118502
-8760	0.134826
-8700	0.123009
-8640	0.157048
-8580	0.127488
-8520	0.126743
-8460	0.144845
-8400	0.092924
-8340	0.168097
-8280	0.117688
-8220	0.156217
-8160	0.107136
-8100	0.078052
-8040	0.145827
-7980	0.168477
-7920	0.108198
-7860	0.157796
-7800	0.143806
-7740	0.127037
-7680	0.107765
-7620	0.135377
-7560	0.113860
-7500	0.175407
-7440	0.146711
-7380	0.125021
-7320	0.121863
-7260	0.125001
-7200	0.110735
-7140	0.135275
-7080	0.121990
-7020	0.170958
-6960	0.107808
-6900	0.130232
-6840	0.097790
-6780	0.122196
-6720	0.076043
-6660	0.141071
-6600	0.123045
-6540	0.114932
-6480	0.119058
-6420	0.108909
-6360	0.125184
-6300	0.124660
-6240	0.132144
-6180	0.146471
-6120	0.135615
-6060	0.107118
-6000	0.149835
-5940	0.095894
-5880	0.132581
-5820	0.151605
-5760	0.120965
-5700	0.107485
-5640	0.109950
-5580	0.150616
-5520	0.142971
-5460	0.149659
-5400	0.136032
-5340	0.097826
-5280	0.128505
-5220	0.113563
-5160	0.090601
-5100	0.147046
-5040	0.121955
-4980	0.100727
-4920	0.135359
-4860	0.166431
-4800	0.131198
-4740	0.116844
-4680	0.159449
-4620	0.134215
-4560	0.130449
-4500	0.122370
-4440	0.100997
-4380	0.104673
-4320	0.120698
-4260	0.163471
-4200	0.132917
-4140	0.073161
-4080	0.107989
-4020	0.136787
-3960	0.105262
-3900	0.092698
-3840	0.117620
-3780	0.099699
-3720	0.119816
-3660	0.131092
-3600	0.140510
-3540	0.107970
-3480	0.115625
-3420	0.117602
-3360	0.105784
-3300	0.122123
-3240	0.142513
-3180	0.120208
-3120	0.121292
-3060	0.146022
-3000	0.089120
-2940	0.126534
-2880	0.122378
-2820	0.151528
-2760	0.123175
-2700	0.146994
-2640	0.117926
-2580	0.141616
-2520	0.114931
-2460	0.144495
-2400	0.131644
-2340	0.144808
-2280	0.144106
-2220	0.143365
-2160	0.147626
-2100	0.142198
-2040	0.129983
-1980	0.133050
-1920	0.140171
-1860	0.148191
-1800	0.131189
-1740	0.154854
-1680	0.128954
-1620	0.129052
-1560	0.126845
-1500	0.154726
-1440	0.151842
-1380	0.166050
-1320	0.153838
-1260	0.138509
-1200	0.128115
-1140	0.131026
-1080	0.122130
-1020	0.146188
-960	0.117522
-900	0.113994
-840	0.135691
-780	0.171626
-720	0.166844
-660	0.164716
-600	0.171887
-540	0.142057
-480	0.167245
-420	0.165419
-360	0.156966
-300	0.163047
-240	0.180307
-180	0.173618
-120	0.195205
-60	0.179376
0	0.172488
60	0.173435
120	0.164082
180	0.163193
240	0.171830
300	0.153933
360	0.165866
420	0.145255
480	0.149021
540	0.152767
600	0.152572
660	0.156080
720	0.155869
780	0.143288
840	0.139142
900	0.125675
960	0.156780
1020	0.146325
1080	0.135312
1140	0.161754
1200	0.140381
1260	0.120015
1320	0.136496
1380	0.133190
1440	0.149483
1500	0.155419
1560	0.126088
1620	0.167226
1680	0.140490
1740	0.167417
1800	0.177438
1860	0.129202
1920	0.163092
1980	0.126431
2040	0.138861
2100	0.137395
2160	0.139196
2220	0.118164
2280	0.162316
2340	0.119861
2400	0.133076
2460	0.132056
2520	0.154566
2580	0.134193
2640	0.153735
2700	0.131968
2760	0.137814
2820	0.136063
2880	0.129543
2940	0.118499
3000	0.110613
3060	0.130233
3120	0.146130
3180	0.115724
3240	0.134054
3300	0.148591
3360	0.134668
3420	0.125954
3480	0.135827
3540	0.091938
3600	0.157512
3660	0.144383
3720	0.148306
3780	0.144317
3840	0.148172
3900	0.140324
3960	0.119761
4020	0.137911
4080	0.126897
4140	0.141419
4200	0.133358
4260	0.134432
4320	0.135329
4380	0.145555
4440	0.144815
4500	0.132535
4560	0.140028
4620	0.113680
4680	0.163771
4740	0.117793
4800	0.125409
4860	0.108100
4920	0.133790
4980	0.143143
5040	0.121234
5100	0.163437
5160	0.122655
5220	0.126466
5280	0.152492
5340	0.133358
5400	0.114501
5460	0.163040
5520	0.142513
5580	0.140969
5640	0.136673
5700	0.117495
5760	0.151260
5820	0.123702
5880	0.128993
5940	0.137281
6000	0.155976
6060	0.126323
6120	0.095665
6180	0.107127
6240	0.121830
6300	0.135414
6360	0.117638
6420	0.119341
6480	0.144825
6540	0.105144
6600	0.122880
6660	0.104071
6720	0.110237
6780	0.113676
6840	0.169174
6900	0.097119
6960	0.142419
7020	0.142290
7080	0.121115
7140	0.103760
7200	0.124218
7260	0.157862
7320	0.114897
7380	0.116779
7440	0.142028
7500	0.123120
7560	0.129993
7620	0.141525
7680	0.131176
7740	0.099215
7800	0.138561
7860	0.178743
7920	0.108803
7980	0.109060
8040	0.160361
8100	0.146904
8160	0.157972
8220	0.135886
8280	0.114185
8340	0.128461
8400	0.134408
8460	0.108370
8520	0.118935
8580	0.135580
8640	0.110633
8700	0.117378
8760	0.146976
8820	0.142808
8880	0.110572
8940	0.165910
9000	0.140151
9060	0.133116
9120	0.142908
9180	0.110595
9240	0.159046
9300	0.162554
9360	0.125881
9420	0.103005
9480	0.142732
9540	0.109857
9600	0.093551
9660	0.120270
9720	0.127494
9780	0.105686
9840	0.133114
9900	0.128332
9960	0.109661
10020	0.143076
10080	0.137188
10140	0.162386
10200	0.099401
10260	0.099553
10320	0.114007
10380	0.135751
10440	0.166624
10500	0.127512
10560	0.140254
10620	0.110240
10680	0.167886
10740	0.129441
10800	0.144201
10860	0.125309
10920	0.132340
10980	0.129832
11040	0.133154
11100	0.118623
11160	0.099280
11220	0.144144
11280	0.137479
11340	0.113277
11400	0.138475
11460	0.095174
11520	0.106336
11580	0.148207
11640	0.112696
11700	0.139430
11760	0.147903
11820	0.118992
11880	0.198142
11940	0.125065
12000	0.120454
12060	0.118306
12120	0.105765
12180	0.167695
12240	0.091990
12300	0.098208
12360	0.125501
12420	0.160828
12480	0.122931
12540	0.112164
12600	0.110859
12660	0.141923
12720	0.086023
12780	0.101768
12840	0.140903
12900	0.181449
12960	0.134286
13020	0.139423
13080	0.109120
13140	0.129233
13200	0.120010
13260	0.075825
13320	0.146141
13380	0.142318
13440	0.101563
13500	0.144753
13560	0.172809
13620	0.116500
13680	0.141359
13740	0.144604
13800	0.123635
13860	0.075082
13920	0.107757
13980	0.128425
14040	0.153269
14100	0.139692
14160	0.132456
14220	0.140681
14280	0.130931
14340	0.113795
14400	0.078819
14460	0.129102
14520	0.139545
14580	0.145124
14640	0.086629
14700	0.142317
14760	0.128186
14820	0.089799
14880	0.136411
14940	0.081646
15000	0.134920
15060	0.092443
15120	0.099168
15180	0.107597
15240	0.075487
15300	0.098276
15360	0.096394
15420	0.112365
15480	0.130717
15540	0.128959
15600	0.127743
15660	0.089922
15720	0.100754
15780	0.110724
15840	0.094363
15900	0.135495
15960	0.067313
16020	0.126348
16080	0.120214
16140	0.132875
16200	0.122358
16260	0.129101
16320	0.098793
16380	0.131010
16440	0.106850
16500	0.142840
16560	0.115114
16620	0.107113
