start	mean
-21600	0.080728
-21540	0.141262
-21480	0.056507
-21420	0.019459
-21360	0.114122
-21300	0.178720
-21240	0.245200
-21180	0.124996
-21120	0.113211
-21060	0.177030
-21000	0.047005
-20940	0.256142
-20880	0.229582
-20820	0.235806
-20760	0.130995
-20700	0.158228
-20640	0.159031
-20580	0.159208
-20520	0.223944
-20460	0.228588
-20400	0.129335
-20340	0.053350
-20280	0.176086
-20220	0.112752
-20160	0.156807
-20100	0.136902
-20040	0.127058
-19980	0.112443
-19920	0.102577
-19860	0.182601
-19800	0.255908
-19740	0.206836
-19680	0.096001
-19620	0.180632
-19560	0.092881
-19500	0.074670
-19440	0.201593
-19380	0.186994
-19320	0.163511
-19260	0.181722
-19200	0.151428
-19140	0.117409
-19080	0.149525
-19020	0.203726
-18960	0.149892
-18900	0.162112
-18840	0.148722
-18780	0.128658
-18720	0.101710
-18660	0.186376
-18600	0.132629
-18540	0.252179
-18480	0.136711
-18420	0.253240
-18360	0.136617
-18300	0.072374
-18240	0.207156
-18180	0.118491
-18120	0.139778
-18060	0.232433
-18000	0.167702
-17940	0.154001
-17880	0.098832
-17820	0.201667
-17760	0.172910
-17700	0.193075
-17640	0.119950
-17580	0.221418
-17520	0.135392
-17460	0.188450
-17400	0.068631
-17340	0.213000
-17280	0.254067
-17220	0.142428
-17160	0.104982
-17100	0.154238
-17040	0.155982
-16980	0.125561
-16920	0.121418
-16860	0.180845
-16800	0.079379
-16740	0.115323
-16680	0.210435
-16620	0.174175
-16560	0.150716
-16500	0.031491
-16440	0.124898
-16380	0.209878
-16320	0.101490
-16260	0.172726
-16200	0.168601
-16140	0.091514
-16080	0.255965
-16020	0.137094
-15960	0.174057
-15900	0.150759
-15840	0.091663
-15780	0.082475
-15720	0.197410
-15660	0.226978
-15600	0.084617
-15540	0.195487
-15480	0.117042
-15420	0.112868
-15360	0.143452
-15300	0.182009
-15240	0.188707
-15180	0.053718
-15120	0.220649
-15060	0.205395
-15000	0.150721
-14940	0.161401
-14880	0.199799
-14820	0.180516
-14760	0.164598
-14700	0.175499
-14640	0.135180
-14580	0.131915
-14520	0.218927
-14460	0.138305
-14400	0.181616
-14340	0.196804
-14280	0.102035
-14220	0.203943
-14160	0.089135
-14100	0.185414
-14040	0.129427
-13980	0.139037
-13920	0.146016
-13860	0.164101
-13800	0.105387
-13740	0.166326
-13680	0.210281
-13620	0.128103
-13560	0.149047
-13500	0.123324
-13440	0.131835
-13380	0.099073
-13320	0.106048
-13260	0.123061
-13200	0.070522
-13140	0.073113
-13080	0.113776
-13020	0.080761
-12960	0.108762
-12900	0.150976
-12840	0.115437
-12780	0.128703
-12720	0.130179
-12660	0.147717
-12600	0.152290
-12540	0.112230
-12480	0.132471
-12420	0.144925
-12360	0.160668
-12300	0.131027
-12240	0.178372
-12180	0.177774
-12120	0.077505
-12060	0.164452
-12000	0.174692
-11940	0.162825
-11880	0.169253
-11820	0.154216
-11760	0.138623
-11700	0.099454
-11640	0.217000
-11580	0.161432
-11520	0.179746
-11460	0.119289
-11400	0.167247
-11340	0.151691
-11280	0.125250
-11220	0.200258
-11160	0.228592
-11100	0.132741
-11040	0.109043
-10980	0.137295
-10920	0.170237
-10860	0.210106
-10800	0.241347
-10740	0.233067
-10680	0.141765
-10620	0.111112
-10560	0.153057
-10500	0.154868
-10440	0.211205
-10380	0.139657
-10320	0.196126
-10260	0.173588
-10200	0.139130
-10140	0.261091
-10080	0.141299
-10020	0.127393
-9960	0.108832
-9900	0.126442
-9840	0.149168
-9780	0.167036
-9720	0.141244
-9660	0.138026
-9600	0.166685
-9540	0.193230
-9480	0.153908
-9420	0.132937
-9360	0.187208
-9300	0.132424
-9240	0.087750
-9180	0.143967
-9120	0.182251
-9060	0.194925
-9000	0.136271
-8940	0.072826
-8880	0.163124
-8820	0.128930
-8760	0.129818
-8700	0.092184
-8640	0.163668
-8580	0.201334
-8520	0.140993
-8460	0.145157
-8400	0.077504
-8340	0.213009
-8280	0.141776
-8220	0.205100
-8160	0.146034
-8100	0.103882
-8040	0.199425
-7980	0.234116
-7920	0.118364
-7860	0.226908
-7800	0.190205
-7740	0.197028
-7680	0.184902
-7620	0.163083
-7560	0.082382
-7500	0.162322
-7440	0.211659
-7380	0.130287
-7320	0.163768
-7260	0.158645
-7200	0.154839
-7140	0.179700
-7080	0.210791
-7020	0.182133
-6960	0.171081
-6900	0.231005
-6840	0.126255
-6780	0.130818
-6720	0.087473
-6660	0.157745
-6600	0.188379
-6540	0.185822
-6480	0.110612
-6420	0.158667
-6360	0.128840
-6300	0.149290
-6240	0.137093
-6180	0.160461
-6120	0.176826
-6060	0.145968
-6000	0.207071
-5940	0.117990
-5880	0.189050
-5820	0.229433
-5760	0.166746
-5700	0.171848
-5640	0.131933
-5580	0.215617
-5520	0.186550
-5460	0.235903
-5400	0.216752
-5340	0.126880
-5280	0.158133
-5220	0.206157
-5160	0.139418
-5100	0.241635
-5040	0.179298
-4980	0.125075
-4920	0.228227
-4860	0.245856
-4800	0.149109
-4740	0.177051
-4680	0.173928
-4620	0.186812
-4560	0.206841
-4500	0.184270
-4440	0.102659
-4380	0.102460
-4320	0.149016
-4260	0.216741
-4200	0.164215
-4140	0.074594
-4080	0.141570
-4020	0.144533
-3960	0.116135
-3900	0.140410
-3840	0.125912
-3780	0.135566
-3720	0.156417
-3660	0.171194
-3600	0.216238
-3540	0.108390
-3480	0.120602
-3420	0.136685
-3360	0.133722
-3300	0.145238
-3240	0.197734
-3180	0.150761
-3120	0.145088
-3060	0.156794
-3000	0.096041
-2940	0.155336
-2880	0.198229
-2820	0.200218
-2760	0.164146
-2700	0.177867
-2640	0.128458
-2580	0.155131
-2520	0.125623
-2460	0.195298
-2400	0.167994
-2340	0.208063
-2280	0.190851
-2220	0.158479
-2160	0.162934
-2100	0.155647
-2040	0.178217
-1980	0.192786
-1920	0.175334
-1860	0.158386
-1800	0.146197
-1740	0.225189
-1680	0.183976
-1620	0.164452
-1560	0.138710
-1500	0.211338
-1440	0.178565
-1380	0.190462
-1320	0.176949
-1260	0.193123
-1200	0.165434
-1140	0.156372
-1080	0.175257
-1020	0.173707
-960	0.196966
-900	0.140752
-840	0.163486
-780	0.186316
-720	0.186905
-660	0.215626
-600	0.219705
-540	0.192944
-480	0.227521
-420	0.218734
-360	0.190361
-300	0.199186
-240	0.204329
-180	0.211664
-120	0.222766
-60	0.227517
0	0.195263
60	0.208094
120	0.185682
180	0.168284
240	0.183936
300	0.177152
360	0.195977
420	0.200998
480	0.206885
540	0.163395
600	0.175485
660	0.185280
720	0.173841
780	0.171836
840	0.146161
900	0.129267
960	0.199058
1020	0.178368
1080	0.153250
1140	0.234381
