start	mean
-21600	0.093820
-21540	0.066135
-21480	0.053583
-21420	0.110733
-21360	0.065522
-21300	0.029370
-21240	0.089137
-21180	0.001104
-21120	0.054958
-21060	0.154771
-21000	0.113231
-20940	0.166530
-20880	-0.007641
-20820	0.088978
-20760	0.015216
-20700	0.056387
-20640	0.122745
-20580	0.027829
-20520	0.078664
-20460	0.114663
-20400	0.146869
-20340	0.104992
-20280	0.060732
-20220	0.140918
-20160	0.149787
-20100	0.080306
-20040	0.076689
-19980	0.184043
-19920	0.090787
-19860	0.071349
-19800	0.075022
-19740	0.147802
-19680	0.199572
-19620	0.096462
-19560	0.096094
-19500	0.119526
-19440	0.106902
-19380	0.164973
-19320	0.124649
-19260	0.235115
-19200	0.112984
-19140	0.099582
-19080	0.054970
-19020	0.127118
-18960	0.100740
-18900	0.099081
-18840	0.072203
-18780	0.119254
-18720	0.161765
-18660	0.029847
-18600	0.037017
-18540	0.072900
-18480	0.152150
-18420	0.171519
-18360	0.033035
-18300	0.172377
-18240	0.097171
-18180	0.115641
-18120	0.170133
-18060	0.132948
-18000	0.142650
-17940	0.119157
-17880	0.036466
-17820	0.064609
-17760	0.115509
-17700	0.171826
-17640	0.117683
-17580	0.069543
-17520	0.013399
-17460	0.096625
-17400	0.126900
-17340	0.125680
-17280	0.068954
-17220	0.153901
-17160	0.080902
-17100	0.062178
-17040	0.083831
-16980	0.025733
-16920	0.159330
-16860	0.053297
-16800	0.043623
-16740	0.109577
-16680	0.067699
-16620	0.107551
-16560	0.154817
-16500	0.119266
-16440	0.173743
-16380	0.038113
-16320	0.147830
-16260	0.120136
-16200	0.081428
-16140	0.104583
-16080	0.113062
-16020	0.047288
-15960	0.146944
-15900	0.059777
-15840	0.105195
-15780	0.105290
-15720	0.123911
-15660	0.021423
-15600	0.038548
-15540	0.076147
-15480	0.010572
-15420	0.075316
-15360	0.107051
-15300	0.046282
-15240	0.109581
-15180	0.140802
-15120	0.042467
-15060	0.083676
-15000	0.122238
-14940	0.143482
-14880	0.185205
-14820	0.093914
-14760	0.056381
-14700	0.150226
-14640	0.087390
-14580	0.091195
-14520	0.041645
-14460	0.094586
-14400	0.131784
-14340	0.141624
-14280	0.098377
-14220	0.127890
-14160	0.079451
-14100	0.074328
-14040	0.069675
-13980	0.079985
-13920	0.114179
-13860	-0.017537
-13800	0.092322
-13740	0.050446
-13680	0.062316
-13620	0.123533
-13560	0.063338
-13500	0.098309
-13440	0.068028
-13380	0.019026
-13320	0.070869
-13260	0.053147
-13200	0.112380
-13140	0.100606
-13080	0.077775
-13020	0.150195
-12960	0.080218
-12900	0.089681
-12840	0.086550
-12780	0.053558
-12720	0.079806
-12660	0.068564
-12600	0.116870
-12540	0.101204
-12480	0.147567
-12420	0.106731
-12360	0.115441
-12300	0.032528
-12240	0.015465
-12180	0.093792
-12120	0.071290
-12060	0.148713
-12000	0.063624
-11940	0.124777
-11880	0.101457
-11820	0.106980
-11760	0.136766
-11700	0.063758
-11640	0.064794
-11580	0.055033
-11520	0.065070
-11460	0.096807
-11400	0.087136
-11340	0.048463
-11280	0.092314
-11220	0.102198
-11160	0.172578
-11100	0.089190
-11040	0.097343
-10980	0.112821
-10920	0.123172
-10860	0.095610
-10800	0.110609
-10740	0.057741
-10680	0.116287
-10620	0.111202
-10560	0.118924
-10500	0.076506
-10440	0.076270
-10380	0.012416
-10320	0.109060
-10260	0.171454
-10200	0.102760
-10140	0.166260
-10080	0.070294
-10020	0.230055
-9960	0.135392
-9900	0.063469
-9840	0.093931
-9780	0.090650
-9720	0.116859
-9660	0.103836
-9600	0.139381
-9540	0.091699
-9480	0.002118
-9420	0.166203
-9360	0.068223
-9300	0.098494
-9240	0.072669
-9180	0.087993
-9120	0.101146
-9060	0.098508
-9000	0.146240
-8940	-0.019874
-8880	0.109732
-8820	0.117791
-8760	0.119952
-8700	0.125188
-8640	0.122047
-8580	0.037280
-8520	0.100979
-8460	0.112820
-8400	0.102966
-8340	0.096426
-8280	0.048418
-8220	0.093764
-8160	0.060051
-8100	0.025151
-8040	0.075445
-7980	0.132080
-7920	0.114960
-7860	0.117837
-7800	0.088832
-7740	0.089531
-7680	0.011927
-7620	0.125356
-7560	0.067852
-7500	0.129447
-7440	0.063739
-7380	0.070784
-7320	0.062447
-7260	0.131929
-7200	0.067444
-7140	0.102572
-7080	0.024921
-7020	0.131650
-6960	0.046495
-6900	0.073239
-6840	0.062121
-6780	0.096255
-6720	0.056211
-6660	0.138673
-6600	0.051292
-6540	0.050802
-6480	0.092588
-6420	0.091316
-6360	0.137045
-6300	0.074035
-6240	0.098364
-6180	0.119954
-6120	0.089060
-6060	0.072886
-6000	0.111461
-5940	0.083365
-5880	0.096254
-5820	0.112977
-5760	0.071107
-5700	0.045449
-5640	0.075731
-5580	0.106458
-5520	0.099260
-5460	0.134466
-5400	0.059797
-5340	0.080700
-5280	0.130701
-5220	0.057965
-5160	0.029963
-5100	0.068098
-5040	0.103173
-4980	0.107335
-4920	0.058387
-4860	0.151481
-4800	0.107824
-4740	0.122387
-4680	0.108396
-4620	0.109767
-4560	0.094830
-4500	0.109327
-4440	0.110724
-4380	0.084949
-4320	0.099186
-4260	0.123803
-4200	0.130856
-4140	0.050095
-4080	0.081028
-4020	0.134642
-3960	0.084677
-3900	0.055902
-3840	0.103765
-3780	0.073067
-3720	0.112102
-3660	0.106809
-3600	0.102235
-3540	0.132354
-3480	0.102542
-3420	0.064155
-3360	0.124015
-3300	0.116769
-3240	0.116119
-3180	0.109390
-3120	0.120745
-3060	0.123877
-3000	0.065271
-2940	0.107538
-2880	0.074122
-2820	0.125352
-2760	0.125328
-2700	0.125176
-2640	0.086050
-2580	0.108919
-2520	0.155623
-2460	0.136748
-2400	0.081221
-2340	0.089144
-2280	0.083107
-2220	0.137522
-2160	0.139080
-2100	0.133951
-2040	0.096678
-1980	0.090703
-1920	0.110805
-1860	0.115374
-1800	0.104811
-1740	0.124809
-1680	0.083600
-1620	0.091415
-1560	0.126515
-1500	0.096347
-1440	0.110785
-1380	0.132943
-1320	0.131104
-1260	0.086203
-1200	0.083780
-1140	0.116981
-1080	0.090366
-1020	0.146392
-960	0.086553
-900	0.084573
-840	0.120422
-780	0.154234
-720	0.132631
-660	0.118924
-600	0.145472
-540	0.126512
-480	0.135708
-420	0.132759
-360	0.142990
-300	0.125225
-240	0.155479
-180	0.138870
-120	0.161252
-60	0.123623
0	0.155552
60	0.138247
120	0.133381
180	0.165229
240	0.144380
300	0.121419
360	0.137844
420	0.089239
480	0.103870
540	0.156970
600	0.125472
660	0.120691
720	0.126566
780	0.096282
840	0.118477
900	0.127349
960	0.110361
1020	0.096144
1080	0.100797
1140	0.096907
1200	0.101951
1260	0.124442
1320	0.121073
1380	0.079631
1440	0.144384
1500	0.130535
1560	0.101634
1620	0.133850
1680	0.109829
1740	0.147432
1800	0.125107
1860	0.114950
1920	0.105930
1980	0.101179
2040	0.129351
2100	0.135471
2160	0.117174
2220	0.085250
2280	0.134718
2340	0.085919
2400	0.128142
2460	0.076729
2520	0.130753
2580	0.140120
2640	0.120239
2700	0.071463
2760	0.088379
2820	0.132664
2880	0.083833
2940	0.076363
