window	vader_2.5p	vader_50p	vader_97.5p	null_2.5p	null_50p	null_97.5p	lengths
-21300	0.084364	0.096731	0.108853	0.099076	0.111450	0.123626	4470
-20700	0.090703	0.102710	0.114468	0.098788	0.110737	0.122786	4692
-20100	0.095410	0.107588	0.119755	0.099090	0.111537	0.123638	4612
-19500	0.107163	0.118852	0.130512	0.099969	0.111469	0.123394	4723
-18900	0.105535	0.117650	0.129555	0.098094	0.110459	0.122653	4627
-18300	0.099795	0.111401	0.123335	0.098080	0.109856	0.121459	4925
-17700	0.108213	0.119982	0.131593	0.097966	0.109888	0.121579	4897
-17100	0.098579	0.109858	0.121316	0.098738	0.110239	0.121818	4920
-16500	0.093456	0.105027	0.116677	0.099412	0.110579	0.122233	5004
-15900	0.106167	0.117500	0.128722	0.099583	0.111291	0.122532	5160
-15300	0.099570	0.110289	0.121201	0.098535	0.109755	0.120957	5394
-14700	0.098758	0.109668	0.120320	0.099152	0.109859	0.120773	5707
-14100	0.091739	0.102834	0.114274	0.099551	0.110658	0.121548	5639
-13500	0.097718	0.108679	0.119463	0.100543	0.111388	0.121976	5821
-12900	0.100405	0.110738	0.121332	0.099528	0.110201	0.120657	5905
-12300	0.103580	0.114058	0.124703	0.100203	0.110730	0.121361	6031
-11700	0.109103	0.119258	0.129514	0.100636	0.110812	0.120966	6246
-11100	0.111649	0.122006	0.132482	0.100217	0.110462	0.120819	6413
-10500	0.103536	0.113880	0.124102	0.099887	0.110373	0.120754	6362
-9900	0.109603	0.119296	0.129378	0.100073	0.109985	0.120037	6874
-9300	0.098415	0.108190	0.117942	0.099372	0.109393	0.119376	6977
-8700	0.100263	0.110145	0.119758	0.100976	0.110901	0.120640	7216
-8100	0.103214	0.112699	0.122218	0.100372	0.109719	0.119223	7491
-7500	0.094863	0.104193	0.113470	0.100848	0.109936	0.119029	7943
-6900	0.092909	0.102132	0.111295	0.100922	0.110006	0.119072	8142
-6300	0.096072	0.104962	0.113865	0.101288	0.109786	0.118465	8784
-5700	0.093673	0.102163	0.110928	0.101733	0.110189	0.118588	9350
-5100	0.091691	0.100152	0.108234	0.102135	0.110584	0.118857	9794
-4500	0.096688	0.104540	0.112610	0.102151	0.110144	0.118096	10771
-3900	0.095382	0.102998	0.110668	0.102674	0.110106	0.117682	11837
-3300	0.088408	0.095812	0.103156	0.102192	0.109764	0.116957	12535
-2700	0.094004	0.101070	0.107946	0.103483	0.110450	0.117671	14043
-2100	0.085782	0.092396	0.098977	0.103920	0.110295	0.116532	16774
-1500	0.094015	0.099951	0.105974	0.103816	0.109727	0.115537	19691
-900	0.085331	0.090704	0.096015	0.104485	0.109578	0.114821	25424
-300	0.077933	0.082244	0.086598	0.105922	0.109946	0.114046	39884
300	0.099053	0.103285	0.107512	0.106318	0.110354	0.114421	41622
900	0.106038	0.111247	0.116619	0.105408	0.110473	0.115559	26339
1500	0.107165	0.113059	0.119054	0.104294	0.110073	0.115846	20350
2100	0.104882	0.111358	0.117725	0.103712	0.110091	0.116503	16725
2700	0.109356	0.116254	0.123288	0.102837	0.109639	0.116520	14358
3300	0.103147	0.110518	0.117762	0.102910	0.110094	0.117487	12647
3900	0.101087	0.108937	0.116691	0.102791	0.110268	0.117891	11405
4500	0.108116	0.116054	0.124077	0.101836	0.109973	0.117896	10500
5100	0.098778	0.106868	0.115231	0.101386	0.109727	0.117948	9959
5700	0.116383	0.124926	0.133092	0.101296	0.109870	0.118157	9466
6300	0.117765	0.126835	0.135742	0.100939	0.109796	0.118496	8785
6900	0.104255	0.113281	0.122616	0.100552	0.109663	0.118705	8199
7500	0.104028	0.113340	0.122913	0.100984	0.110185	0.119271	7926
8100	0.102586	0.111947	0.121454	0.099591	0.108946	0.117942	7481
8700	0.098776	0.108586	0.118369	0.098354	0.108422	0.118183	6930
9300	0.101258	0.111033	0.120473	0.099492	0.109417	0.119253	6977
9900	0.101031	0.110862	0.120977	0.098911	0.108929	0.119096	6698
10500	0.095403	0.105464	0.115285	0.098886	0.108939	0.119012	6599
11100	0.102150	0.112542	0.122937	0.098479	0.108856	0.119342	6270
11700	0.095166	0.105836	0.116537	0.098618	0.108885	0.119324	6262
12300	0.102906	0.113351	0.123755	0.098318	0.108960	0.120039	5828
12900	0.096400	0.107058	0.117919	0.099137	0.109976	0.120626	5804
13500	0.099906	0.110539	0.121379	0.098125	0.109234	0.119854	5760
14100	0.101579	0.112491	0.123610	0.098146	0.109330	0.120472	5524
14700	0.102501	0.113849	0.125023	0.097925	0.109060	0.120174	5453
15300	0.105555	0.116966	0.128253	0.097229	0.108521	0.119826	5397
15900	0.106004	0.117505	0.128889	0.097979	0.109196	0.120554	5213
16500	0.099065	0.110675	0.122328	0.097233	0.108778	0.119855	5114
17100	0.103395	0.114819	0.126452	0.097152	0.108561	0.120202	5047
17700	0.096211	0.108146	0.119845	0.096672	0.108562	0.120342	4922
18300	0.107216	0.119147	0.131305	0.095744	0.107948	0.119902	4713
18900	0.092199	0.104319	0.116229	0.095105	0.107116	0.119157	4720
19500	0.108276	0.120337	0.132356	0.096692	0.108384	0.120682	4526
20100	0.091487	0.103096	0.115129	0.096699	0.108839	0.121257	4540
20700	0.088756	0.100873	0.113121	0.097267	0.109271	0.121157	4539
21300	0.098602	0.110978	0.123498	0.097198	0.109183	0.121631	4431
