window	vader_2.5p	vader_50p	vader_97.5p	null_2.5p	null_50p	null_97.5p	lengths
-21300	0.096008	0.113693	0.131271	0.109204	0.127401	0.145142	2283
-20700	0.099053	0.116332	0.134053	0.109514	0.127009	0.144387	2430
-20100	0.111004	0.128871	0.146541	0.111595	0.128892	0.146579	2402
-19500	0.113929	0.131287	0.148130	0.109846	0.127273	0.144508	2460
-18900	0.110714	0.128183	0.145512	0.109556	0.127047	0.144493	2404
-18300	0.108975	0.125226	0.142066	0.108521	0.125336	0.141945	2612
-17700	0.108589	0.125909	0.143248	0.108763	0.125368	0.142663	2545
-17100	0.106230	0.122735	0.139778	0.109992	0.126486	0.143549	2516
-16500	0.102012	0.119030	0.135454	0.112234	0.128587	0.145102	2587
-15900	0.113702	0.130151	0.146226	0.110398	0.126746	0.143215	2696
-15300	0.112013	0.127325	0.143562	0.107917	0.124149	0.139934	2759
-14700	0.118231	0.133911	0.149812	0.109110	0.124596	0.140170	2875
-14100	0.092143	0.108497	0.124324	0.110897	0.126964	0.142777	2901
-13500	0.120598	0.136358	0.151873	0.112626	0.127932	0.143976	3040
-12900	0.105601	0.121211	0.136677	0.111132	0.126367	0.141541	3087
-12300	0.112933	0.127826	0.142862	0.110302	0.125564	0.140868	3194
-11700	0.116558	0.131903	0.147281	0.111371	0.126306	0.141379	3193
-11100	0.126996	0.142243	0.157333	0.112140	0.127460	0.142197	3279
-10500	0.109897	0.125129	0.140364	0.112366	0.127011	0.142231	3271
-9900	0.114361	0.129306	0.143581	0.112608	0.127094	0.141680	3531
-9300	0.109211	0.123639	0.137875	0.111565	0.126077	0.140031	3569
-8700	0.108596	0.122575	0.136301	0.112920	0.127138	0.140500	3693
-8100	0.107992	0.121974	0.135555	0.111672	0.125470	0.139081	3842
-7500	0.094449	0.107882	0.121829	0.112778	0.126048	0.139956	4034
-6900	0.105932	0.119669	0.133023	0.113399	0.126968	0.140416	4064
-6300	0.108611	0.121422	0.134143	0.112273	0.124850	0.137823	4495
-5700	0.105515	0.117830	0.130377	0.114280	0.127025	0.139269	4727
-5100	0.098066	0.110109	0.122323	0.114565	0.126859	0.139193	4984
-4500	0.114241	0.126165	0.138028	0.115186	0.127013	0.138466	5390
-3900	0.114392	0.125340	0.136518	0.114852	0.126038	0.136747	6005
-3300	0.101198	0.112115	0.122880	0.115298	0.126249	0.136902	6311
-2700	0.101429	0.111785	0.122197	0.115770	0.126389	0.136557	7063
-2100	0.095908	0.105419	0.114923	0.116785	0.126202	0.135612	8388
-1500	0.103673	0.112363	0.121280	0.117563	0.126122	0.134891	9905
-900	0.092719	0.100635	0.108492	0.118176	0.125659	0.133325	12769
-300	0.086803	0.093236	0.099381	0.119970	0.126013	0.131848	20584
300	0.116421	0.122449	0.128487	0.120323	0.126175	0.132223	21196
900	0.123123	0.130871	0.138732	0.119739	0.127152	0.134486	13297
1500	0.120824	0.129750	0.138402	0.118396	0.127077	0.135573	10112
2100	0.115160	0.124832	0.134319	0.116273	0.125522	0.134819	8414
2700	0.127640	0.137816	0.148029	0.115048	0.125276	0.135286	7145
3300	0.123269	0.134104	0.144875	0.115795	0.126668	0.137258	6326
3900	0.115257	0.126841	0.138258	0.115467	0.126808	0.138334	5704
4500	0.126033	0.137624	0.149551	0.114653	0.126532	0.138306	5294
5100	0.109017	0.120891	0.132992	0.113525	0.125461	0.137298	5089
5700	0.127958	0.140385	0.152645	0.113973	0.126371	0.138817	4756
6300	0.129988	0.142745	0.155731	0.112540	0.125143	0.138009	4454
6900	0.120071	0.133629	0.147383	0.112893	0.126369	0.139562	4112
7500	0.114265	0.128336	0.142089	0.113079	0.126504	0.139849	4055
8100	0.116299	0.130090	0.143807	0.111764	0.125681	0.139678	3837
8700	0.116935	0.131212	0.145646	0.109591	0.124164	0.138761	3533
9300	0.115605	0.130342	0.145095	0.111538	0.126244	0.140747	3483
9900	0.115280	0.130004	0.144487	0.109710	0.124486	0.139173	3425
10500	0.096199	0.110912	0.125552	0.109636	0.124247	0.139224	3323
11100	0.120245	0.135257	0.150048	0.110884	0.126403	0.141667	3188
11700	0.106413	0.121775	0.136798	0.109364	0.124331	0.139427	3223
12300	0.117467	0.132841	0.148385	0.108393	0.124322	0.139705	2958
12900	0.096638	0.112409	0.128596	0.111570	0.127230	0.142738	2926
13500	0.119191	0.135040	0.150644	0.110200	0.126002	0.142051	2945
14100	0.116615	0.132813	0.148733	0.109563	0.125872	0.141766	2858
14700	0.127220	0.143987	0.159841	0.109377	0.125981	0.142899	2766
15300	0.120881	0.136171	0.151927	0.108101	0.124038	0.140110	2816
15900	0.115453	0.131133	0.146950	0.108619	0.124799	0.140909	2827
16500	0.113243	0.128826	0.144781	0.108753	0.124816	0.140832	2822
17100	0.114775	0.130874	0.146884	0.108049	0.124571	0.140799	2756
17700	0.104622	0.121620	0.138483	0.107136	0.124199	0.140764	2492
18300	0.116231	0.133407	0.150591	0.107140	0.124418	0.141834	2453
18900	0.104710	0.121465	0.138656	0.106317	0.123559	0.140552	2466
19500	0.126340	0.143517	0.161337	0.107506	0.124922	0.142392	2376
20100	0.094649	0.111676	0.128334	0.107636	0.125623	0.143165	2408
20700	0.090102	0.107702	0.125315	0.107644	0.125195	0.142629	2360
21300	0.106907	0.124543	0.141947	0.108875	0.126361	0.144114	2385
