window	vader_2.5p	vader_50p	vader_97.5p	null_2.5p	null_50p	null_97.5p	lengths
-21300	0.056024	0.079147	0.101845	0.072508	0.095031	0.117754	1166
-20700	0.056216	0.077587	0.099731	0.064182	0.086439	0.108704	1198
-20100	0.046226	0.068544	0.089760	0.067732	0.090133	0.112741	1177
-19500	0.083769	0.106217	0.128169	0.066992	0.089017	0.111788	1199
-18900	0.080607	0.102220	0.124111	0.065522	0.088438	0.110538	1155
-18300	0.073026	0.095335	0.117550	0.066025	0.088174	0.110401	1187
-17700	0.090259	0.112556	0.134341	0.068424	0.090655	0.112599	1230
-17100	0.064528	0.086396	0.108205	0.067660	0.089155	0.110572	1260
-16500	0.065762	0.088265	0.110342	0.066244	0.087259	0.108349	1292
-15900	0.087329	0.109635	0.131333	0.071951	0.093639	0.115093	1316
-15300	0.077038	0.097556	0.117854	0.068510	0.089027	0.109033	1426
-14700	0.071051	0.090112	0.109029	0.071274	0.091490	0.110901	1507
-14100	0.079364	0.100090	0.120712	0.065837	0.086097	0.106802	1448
-13500	0.052053	0.071383	0.091054	0.071096	0.091212	0.111246	1484
-12900	0.082126	0.101391	0.120783	0.066626	0.087355	0.107156	1514
-12300	0.081211	0.101967	0.121957	0.070554	0.090051	0.109757	1541
-11700	0.076226	0.095396	0.115017	0.071179	0.090975	0.110802	1569
-11100	0.086197	0.106651	0.127969	0.068555	0.087613	0.107463	1565
-10500	0.073028	0.091699	0.110937	0.069731	0.088858	0.107802	1635
-9900	0.079963	0.099037	0.117901	0.070973	0.089441	0.108105	1728
-9300	0.067014	0.085694	0.104425	0.069332	0.087953	0.106697	1741
-8700	0.062646	0.081168	0.099798	0.071268	0.089151	0.107359	1782
-8100	0.066278	0.083984	0.101165	0.072282	0.089547	0.106824	1943
-7500	0.075903	0.093052	0.110538	0.071467	0.088634	0.105976	2076
-6900	0.064059	0.080328	0.096594	0.071696	0.087686	0.104206	2212
-6300	0.065878	0.082511	0.098453	0.070245	0.086747	0.102787	2334
-5700	0.071503	0.086624	0.101590	0.072214	0.087695	0.102965	2519
-5100	0.061827	0.077051	0.092197	0.073833	0.088864	0.104218	2546
-4500	0.059618	0.073998	0.088557	0.074791	0.089042	0.102934	2933
-3900	0.061892	0.075889	0.089749	0.075482	0.089543	0.103362	3175
-3300	0.059411	0.073207	0.086948	0.072601	0.086042	0.099206	3332
-2700	0.077546	0.090434	0.103292	0.076883	0.089659	0.102423	3670
-2100	0.068849	0.080578	0.092514	0.076806	0.088465	0.100534	4420
-1500	0.068939	0.080073	0.091157	0.076215	0.086914	0.097740	5201
-900	0.066875	0.076824	0.086799	0.078307	0.087667	0.097168	6682
-300	0.056371	0.064486	0.072376	0.079870	0.087474	0.095165	10326
300	0.073559	0.081584	0.089679	0.082510	0.089973	0.097415	10697
900	0.078817	0.088328	0.097805	0.077827	0.087115	0.096358	6984
1500	0.078370	0.089288	0.100243	0.076782	0.087644	0.098219	5376
2100	0.083879	0.095668	0.107449	0.078152	0.089963	0.101897	4360
2700	0.071649	0.084831	0.097710	0.076828	0.089081	0.101780	3816
3300	0.080108	0.093447	0.106949	0.073736	0.087099	0.100417	3315
3900	0.071711	0.085865	0.100302	0.073000	0.087243	0.101105	3050
4500	0.076911	0.091492	0.106499	0.074383	0.088958	0.103196	2776
5100	0.070074	0.085114	0.100345	0.076592	0.091885	0.106665	2627
5700	0.088695	0.104339	0.120140	0.071986	0.087315	0.102977	2465
6300	0.092452	0.109301	0.126229	0.072058	0.088657	0.105000	2220
6900	0.071293	0.088170	0.105340	0.070726	0.087113	0.103673	2191
7500	0.080259	0.096982	0.114032	0.073325	0.090484	0.107602	2060
8100	0.079595	0.097111	0.114924	0.069293	0.086793	0.104872	1909
8700	0.063994	0.082786	0.101476	0.069099	0.087216	0.105866	1763
9300	0.073997	0.092495	0.110993	0.068392	0.086912	0.105754	1775
9900	0.082811	0.101460	0.120362	0.067314	0.086092	0.105022	1688
10500	0.082836	0.101568	0.120502	0.067311	0.086090	0.104808	1703
11100	0.072384	0.091525	0.110526	0.070780	0.089983	0.109152	1647
11700	0.072595	0.092425	0.112197	0.068343	0.087799	0.107130	1585
12300	0.088477	0.108186	0.127888	0.065653	0.085248	0.105139	1516
12900	0.080080	0.100024	0.120313	0.065940	0.085767	0.105277	1500
13500	0.065702	0.086481	0.106759	0.062720	0.082658	0.103149	1443
14100	0.068972	0.089918	0.110083	0.067843	0.088165	0.108440	1453
14700	0.069306	0.089933	0.110095	0.066255	0.086823	0.107487	1401
15300	0.069027	0.091659	0.114221	0.065196	0.085760	0.107425	1314
15900	0.072496	0.094345	0.116404	0.061021	0.083117	0.105165	1257
16500	0.059763	0.083076	0.106614	0.061204	0.083280	0.105238	1212
17100	0.068971	0.091115	0.113193	0.062293	0.084859	0.107304	1204
17700	0.082593	0.104891	0.127073	0.066283	0.087897	0.109104	1310
18300	0.071356	0.093997	0.117199	0.061183	0.084008	0.106899	1138
18900	0.059909	0.082264	0.104693	0.064724	0.087432	0.110045	1156
19500	0.083647	0.107259	0.130257	0.059280	0.083035	0.107816	1042
20100	0.063025	0.086504	0.110730	0.065341	0.088406	0.112215	1109
20700	0.051577	0.075532	0.099859	0.063992	0.087332	0.110758	1091
21300	0.054952	0.079363	0.104426	0.063385	0.087099	0.110854	1075
