window	vader_2.5p	vader_50p	vader_97.5p	null_2.5p	null_50p	null_97.5p	lengths
-21300	0.083105	0.100628	0.117928	0.112511	0.129644	0.146579	2115
-20700	0.110300	0.127752	0.145138	0.111575	0.128456	0.145270	2204
-20100	0.098386	0.115101	0.131924	0.108828	0.126184	0.143326	2091
-19500	0.123295	0.141029	0.159280	0.110762	0.128344	0.146118	1981
-18900	0.105686	0.124388	0.142555	0.109688	0.127381	0.145277	1971
-18300	0.112795	0.130850	0.148633	0.109653	0.127088	0.144692	1994
-17700	0.109953	0.127004	0.144025	0.109654	0.126554	0.143544	2191
-17100	0.114639	0.131933	0.148980	0.112144	0.128951	0.145545	2155
-16500	0.110588	0.126462	0.142513	0.111304	0.127418	0.143473	2425
-15900	0.120646	0.137041	0.153071	0.111148	0.127070	0.143062	2420
-15300	0.104530	0.120670	0.137328	0.111369	0.127392	0.143272	2419
-14700	0.114377	0.129443	0.145312	0.110925	0.126870	0.142436	2506
-14100	0.100400	0.116114	0.131473	0.112531	0.127949	0.143745	2515
-13500	0.100005	0.115207	0.130404	0.112354	0.127667	0.143140	2587
-12900	0.086832	0.102539	0.118210	0.111047	0.126522	0.142117	2552
-12300	0.104957	0.120709	0.136334	0.113102	0.127999	0.142929	2605
-11700	0.112603	0.127917	0.142806	0.112414	0.127312	0.142316	2768
-11100	0.119011	0.133701	0.148737	0.113725	0.128575	0.143237	2820
-10500	0.114343	0.129224	0.143704	0.112179	0.127169	0.141933	2858
-9900	0.105298	0.119933	0.135016	0.113098	0.127736	0.141723	2969
-9300	0.114313	0.128385	0.142809	0.112473	0.126603	0.140609	3101
-8700	0.111675	0.125563	0.139566	0.113164	0.126850	0.140597	3240
-8100	0.116124	0.129588	0.143261	0.113616	0.127422	0.140768	3353
-7500	0.119292	0.132304	0.145337	0.115183	0.128622	0.141563	3479
-6900	0.108175	0.121239	0.134131	0.114892	0.127958	0.141068	3632
-6300	0.110709	0.124067	0.136996	0.114082	0.127552	0.140517	3656
-5700	0.118138	0.130879	0.143753	0.114815	0.127385	0.139797	3901
-5100	0.112103	0.124455	0.136527	0.116210	0.128297	0.140966	4034
-4500	0.116179	0.128635	0.140901	0.116155	0.128173	0.140394	4076
-3900	0.099702	0.111814	0.123607	0.116666	0.128801	0.140248	4382
-3300	0.112684	0.124149	0.135929	0.114987	0.126314	0.137617	4708
-2700	0.116931	0.127906	0.138751	0.114899	0.125518	0.136518	5243
-2100	0.130751	0.140653	0.150527	0.116471	0.126572	0.136350	6147
-1500	0.134346	0.143866	0.153284	0.117979	0.127336	0.136544	7164
-900	0.132915	0.141067	0.149190	0.119169	0.127265	0.135482	9580
-300	0.166082	0.172229	0.178424	0.122783	0.128773	0.134731	16952
300	0.157157	0.162844	0.168533	0.123633	0.129207	0.134822	19863
900	0.140333	0.147523	0.154807	0.121206	0.128404	0.135473	12367
1500	0.134465	0.142943	0.151024	0.119920	0.128010	0.136004	9509
2100	0.133479	0.142209	0.150831	0.119285	0.127824	0.136611	8127
2700	0.126681	0.136147	0.145768	0.118491	0.127716	0.137126	6965
3300	0.117457	0.127562	0.137351	0.117114	0.127134	0.137007	6285
3900	0.130849	0.141184	0.151456	0.115244	0.125465	0.135971	5779
4500	0.125054	0.135926	0.146664	0.117019	0.127702	0.138567	5310
5100	0.121345	0.132812	0.143756	0.115585	0.126955	0.138047	4942
5700	0.124055	0.135601	0.146787	0.115540	0.126969	0.138834	4623
6300	0.110651	0.122488	0.134698	0.114155	0.126116	0.137754	4418
6900	0.111162	0.123129	0.135183	0.114109	0.126311	0.138516	4323
7500	0.116089	0.128115	0.140438	0.113476	0.125938	0.138336	4085
8100	0.125687	0.138047	0.150866	0.113606	0.125957	0.138373	3950
8700	0.116274	0.129166	0.142223	0.112815	0.125678	0.138453	3728
9300	0.119917	0.133082	0.146283	0.111424	0.124616	0.137820	3568
9900	0.112896	0.125952	0.139028	0.110973	0.124590	0.138053	3439
10500	0.115924	0.129363	0.142763	0.110420	0.123998	0.137537	3446
11100	0.114365	0.127785	0.141032	0.111150	0.123929	0.137123	3569
11700	0.119408	0.133189	0.146594	0.110867	0.124806	0.138368	3333
12300	0.108802	0.123101	0.137552	0.110943	0.125006	0.138887	3137
12900	0.113216	0.127251	0.141539	0.110240	0.124382	0.138618	3063
13500	0.116376	0.130736	0.145041	0.108738	0.123231	0.138216	2903
14100	0.110601	0.124948	0.139338	0.109923	0.124742	0.139263	2857
14700	0.100892	0.115836	0.130449	0.109744	0.124688	0.139311	2859
15300	0.092240	0.107002	0.121750	0.109646	0.123927	0.138833	2787
15900	0.095366	0.110428	0.125691	0.108941	0.123493	0.138501	2820
16500	0.105740	0.120697	0.135061	0.107132	0.121996	0.137415	2809
17100	0.100520	0.115900	0.131571	0.107546	0.122824	0.138183	2637
17700	0.100615	0.116186	0.131613	0.109077	0.124818	0.140381	2598
18300	0.113534	0.129032	0.144155	0.109031	0.124333	0.140071	2635
18900	0.103440	0.118888	0.134884	0.108895	0.124308	0.140089	2513
19500	0.109665	0.124606	0.139752	0.108707	0.123759	0.139025	2677
20100	0.102661	0.118167	0.133556	0.107604	0.123515	0.139243	2540
20700	0.106701	0.122779	0.138846	0.106303	0.122158	0.138066	2537
21300	0.100247	0.115829	0.131240	0.107239	0.122790	0.137989	2538
