window	vader_2.5p	vader_50p	vader_97.5p	null_2.5p	null_50p	null_97.5p	lengths
-21300	0.093167	0.123045	0.151785	0.124292	0.153209	0.181546	848
-20700	0.151929	0.182557	0.212635	0.129935	0.158223	0.186713	847
-20100	0.101493	0.129892	0.158333	0.124141	0.152690	0.180970	847
-19500	0.135788	0.165167	0.194852	0.126238	0.155504	0.184704	821
-18900	0.120768	0.149936	0.179543	0.123573	0.153444	0.182717	799
-18300	0.138340	0.168273	0.196504	0.128363	0.157424	0.186194	850
-17700	0.138972	0.166413	0.194411	0.130007	0.156272	0.184369	943
-17100	0.122842	0.151413	0.179984	0.132358	0.160093	0.187722	914
-16500	0.113427	0.140447	0.167007	0.130502	0.157101	0.182983	995
-15900	0.129208	0.155891	0.182936	0.127226	0.154162	0.180964	971
-15300	0.124025	0.151827	0.178536	0.125408	0.152239	0.179533	958
-14700	0.140292	0.166568	0.192658	0.127429	0.154245	0.181199	970
-14100	0.127076	0.154518	0.182477	0.132475	0.159859	0.187123	937
-13500	0.107313	0.133619	0.160111	0.133500	0.160104	0.186479	988
-12900	0.086020	0.112881	0.139503	0.127109	0.152877	0.179296	1000
-12300	0.114216	0.142382	0.170174	0.128426	0.154888	0.181702	974
-11700	0.132527	0.157795	0.183020	0.131411	0.155881	0.180578	1132
-11100	0.139422	0.164554	0.190560	0.130953	0.155448	0.179304	1139
-10500	0.150740	0.175270	0.200052	0.134077	0.158153	0.182391	1190
-9900	0.125728	0.150569	0.174743	0.130333	0.154418	0.178348	1211
-9300	0.133976	0.158407	0.181962	0.133555	0.157609	0.180644	1241
-8700	0.114196	0.137845	0.161457	0.131301	0.153734	0.176771	1294
-8100	0.141321	0.164758	0.188019	0.132822	0.154800	0.177919	1340
-7500	0.144267	0.166720	0.189292	0.135516	0.158133	0.180509	1351
-6900	0.139159	0.161926	0.185306	0.137276	0.160282	0.182449	1359
-6300	0.130946	0.153387	0.176143	0.133138	0.155320	0.177617	1387
-5700	0.162319	0.184649	0.207342	0.136415	0.157991	0.179213	1465
-5100	0.168368	0.189887	0.211467	0.135793	0.156802	0.178229	1498
-4500	0.143454	0.166121	0.188256	0.135110	0.157016	0.178368	1518
-3900	0.114964	0.136699	0.158174	0.134317	0.154896	0.175336	1615
-3300	0.131744	0.151705	0.172315	0.133453	0.153652	0.173431	1770
-2700	0.139417	0.159121	0.178812	0.135783	0.154219	0.173358	1957
-2100	0.156501	0.174421	0.191965	0.138562	0.156354	0.174543	2164
-1500	0.164077	0.180800	0.197715	0.139844	0.155844	0.172157	2614
-900	0.162819	0.176902	0.190727	0.142635	0.156177	0.170288	3540
-300	0.202585	0.212829	0.223485	0.147045	0.157365	0.167714	6514
300	0.179899	0.189618	0.199072	0.148966	0.158389	0.167557	7971
900	0.162128	0.174728	0.187098	0.143655	0.155287	0.167399	4785
1500	0.150817	0.164833	0.178777	0.142175	0.156060	0.169924	3610
2100	0.162257	0.177360	0.192609	0.143563	0.158596	0.173830	3091
2700	0.159295	0.176186	0.192765	0.138822	0.155433	0.171699	2633
3300	0.133918	0.151075	0.168516	0.136825	0.154152	0.171169	2372
3900	0.147774	0.165086	0.183191	0.132962	0.150874	0.168444	2237
4500	0.147808	0.166501	0.185363	0.138289	0.156153	0.174355	2033
5100	0.135274	0.154514	0.173892	0.134828	0.154116	0.173197	1904
5700	0.141451	0.160696	0.179675	0.133716	0.153235	0.173066	1791
6300	0.134884	0.155570	0.175772	0.134395	0.154484	0.174562	1748
6900	0.126107	0.147943	0.169227	0.131990	0.152619	0.173520	1648
7500	0.140317	0.161500	0.182540	0.131024	0.151583	0.172294	1553
8100	0.124762	0.145969	0.167009	0.128827	0.149241	0.169675	1621
8700	0.144736	0.165753	0.186865	0.131763	0.152712	0.173634	1585
9300	0.133740	0.155107	0.177009	0.128081	0.149518	0.171945	1431
9900	0.131984	0.154408	0.177027	0.133451	0.156212	0.178796	1359
10500	0.133679	0.156316	0.178774	0.131246	0.153201	0.175790	1372
11100	0.132137	0.154221	0.176077	0.132701	0.154285	0.176238	1473
11700	0.144712	0.166786	0.189307	0.126450	0.149270	0.172197	1342
12300	0.109323	0.133382	0.157337	0.125377	0.148808	0.172688	1282
12900	0.131162	0.154538	0.177798	0.128973	0.152322	0.175421	1269
13500	0.141243	0.165465	0.189896	0.128443	0.152629	0.176371	1163
14100	0.128406	0.153761	0.178937	0.127340	0.152582	0.177089	1125
14700	0.127620	0.152692	0.176907	0.128088	0.151856	0.176176	1151
15300	0.112947	0.137212	0.162128	0.126174	0.151099	0.175185	1125
15900	0.109491	0.134781	0.160927	0.128561	0.153025	0.177734	1106
16500	0.122709	0.147050	0.172499	0.123820	0.148990	0.173366	1128
17100	0.133961	0.159144	0.185559	0.127223	0.153241	0.178018	1056
17700	0.124316	0.149945	0.176436	0.128275	0.154061	0.179878	1031
18300	0.127932	0.155095	0.181190	0.121824	0.147873	0.174415	1000
18900	0.126700	0.152919	0.178803	0.126811	0.152587	0.179042	1026
19500	0.126739	0.150581	0.174265	0.129721	0.153856	0.178183	1188
20100	0.110174	0.136532	0.162517	0.124205	0.150170	0.175662	1025
20700	0.141388	0.166063	0.191375	0.128099	0.153814	0.179647	1049
21300	0.110703	0.136830	0.162778	0.122583	0.148446	0.174431	1030
