window	vader_2.5p	vader_50p	vader_97.5p	null_2.5p	null_50p	null_97.5p	lengths
-21300	0.046651	0.075873	0.104647	0.072389	0.100448	0.128622	657
-20700	0.050166	0.076986	0.104452	0.073609	0.099661	0.125483	753
-20100	0.082963	0.109916	0.137260	0.068007	0.095811	0.124300	670
-19500	0.104349	0.135370	0.165658	0.072233	0.101781	0.131461	599
-18900	0.067475	0.097505	0.127455	0.070451	0.100397	0.129592	602
-18300	0.083567	0.114096	0.145504	0.067718	0.097262	0.126259	624
-17700	0.063838	0.091634	0.120308	0.072931	0.100531	0.128572	652
-17100	0.067896	0.096216	0.124413	0.075637	0.103878	0.131631	637
-16500	0.079786	0.106256	0.133176	0.077239	0.103904	0.130427	745
-15900	0.064325	0.091355	0.119112	0.072529	0.098539	0.124781	750
-15300	0.047168	0.074795	0.101978	0.079094	0.104992	0.131043	768
-14700	0.081536	0.107690	0.133886	0.078721	0.105149	0.131740	741
-14100	0.061445	0.088362	0.115492	0.070727	0.096512	0.122471	796
-13500	0.043749	0.070116	0.096226	0.074091	0.099502	0.124807	814
-12900	0.062144	0.088064	0.113189	0.072925	0.097841	0.123885	809
-12300	0.068503	0.093038	0.117548	0.073801	0.098432	0.123523	865
-11700	0.063091	0.087347	0.111938	0.073991	0.098955	0.122956	847
-11100	0.078424	0.101945	0.125794	0.078859	0.102751	0.127222	893
-10500	0.072555	0.096151	0.120133	0.072745	0.096997	0.120939	909
-9900	0.092722	0.117363	0.141749	0.076770	0.101042	0.124793	932
-9300	0.070239	0.093284	0.116052	0.074324	0.097215	0.120101	969
-8700	0.072847	0.096653	0.120665	0.080690	0.102786	0.125377	1051
-8100	0.064645	0.086244	0.107686	0.079705	0.101843	0.123526	1108
-7500	0.062686	0.084426	0.106417	0.078479	0.100043	0.121435	1131
-6900	0.059056	0.079393	0.100147	0.079432	0.100263	0.120833	1215
-6300	0.067034	0.089247	0.111394	0.075450	0.096413	0.116867	1215
-5700	0.073743	0.093411	0.113589	0.081647	0.101670	0.121399	1324
-5100	0.066063	0.084366	0.103251	0.082459	0.102201	0.121643	1378
-4500	0.086348	0.106403	0.126311	0.082724	0.102296	0.121833	1394
-3900	0.074308	0.093974	0.113154	0.084444	0.103089	0.122035	1461
-3300	0.093300	0.111887	0.130567	0.083761	0.101783	0.120058	1521
-2700	0.093489	0.111193	0.128996	0.083286	0.101354	0.118370	1717
-2100	0.092514	0.108898	0.125203	0.086376	0.102402	0.118813	2086
-1500	0.094271	0.109310	0.124346	0.087901	0.102734	0.117967	2476
-900	0.101841	0.114950	0.128129	0.086016	0.098865	0.111500	3292
-300	0.129859	0.139921	0.150265	0.092784	0.102453	0.112229	5650
300	0.126441	0.136075	0.145583	0.092965	0.101963	0.111140	6314
900	0.100868	0.112386	0.124227	0.087788	0.099203	0.110893	4012
1500	0.105289	0.118596	0.132217	0.092549	0.105490	0.118532	3088
2100	0.099398	0.114037	0.128765	0.087765	0.102002	0.116575	2610
2700	0.089939	0.105733	0.121116	0.085982	0.101338	0.116718	2238
3300	0.078881	0.095181	0.111246	0.083728	0.099295	0.115133	2067
3900	0.106298	0.123299	0.140559	0.082640	0.098822	0.115580	1956
4500	0.095805	0.113126	0.131169	0.083537	0.100234	0.117158	1804
5100	0.093962	0.111476	0.129587	0.082008	0.099893	0.117767	1638
5700	0.090079	0.108933	0.128120	0.080992	0.099504	0.118360	1540
6300	0.068732	0.088627	0.108425	0.077969	0.096225	0.114763	1469
6900	0.085434	0.105064	0.124840	0.082085	0.100866	0.119937	1431
7500	0.074251	0.093946	0.113973	0.077231	0.097287	0.117283	1350
8100	0.092494	0.113988	0.136119	0.079847	0.100986	0.121786	1217
8700	0.078027	0.100575	0.122641	0.079617	0.101059	0.122609	1172
9300	0.080810	0.103115	0.125087	0.077304	0.098659	0.120411	1142
9900	0.094828	0.117636	0.139868	0.072919	0.094549	0.116613	1118
10500	0.078162	0.099684	0.121614	0.073051	0.094068	0.116428	1112
11100	0.066484	0.088606	0.110065	0.074672	0.096753	0.118941	1088
11700	0.063397	0.085867	0.108358	0.075131	0.097178	0.119724	1045
12300	0.073602	0.096276	0.119013	0.075006	0.097636	0.120910	1002
12900	0.072664	0.096002	0.119799	0.076081	0.099489	0.123353	938
13500	0.076060	0.099480	0.123162	0.074604	0.098428	0.121868	954
14100	0.071815	0.096082	0.119731	0.071651	0.096168	0.119990	917
14700	0.061953	0.085679	0.109932	0.076005	0.099570	0.122359	930
15300	0.049727	0.075178	0.100150	0.068677	0.093008	0.117921	864
15900	0.044967	0.069902	0.094798	0.070899	0.095097	0.119701	902
16500	0.073916	0.098544	0.123208	0.072751	0.096660	0.120976	909
17100	0.053513	0.080160	0.107059	0.068890	0.093981	0.119329	824
17700	0.075444	0.100844	0.126105	0.070438	0.095398	0.120048	861
18300	0.094706	0.120842	0.145901	0.077591	0.103579	0.129053	822
18900	0.071898	0.099126	0.126440	0.073839	0.101090	0.127646	733
19500	0.063785	0.093117	0.121396	0.072946	0.100288	0.127437	704
20100	0.042748	0.068331	0.094460	0.072403	0.097995	0.123683	784
20700	0.058808	0.086108	0.112688	0.069489	0.095534	0.121366	770
21300	0.065092	0.091291	0.116254	0.067442	0.092796	0.118503	791
